name,description,shortDescription,sku,stock,category,subcategory,subsubcategory,status,featured,newArrival,todaysSpecial,delivery_type,brand,air_purifying,pet_friendly,seoTitle,seoDescription,seoKeywords,slug,mainImage,galleryImages,imagePersonalization,textPersonalization,features,badges,price,discounted_price,variants
Type 3 (copy auto16),Type 3 description,Short for Type 3,type-3-auto16,100,Cakes,Cakes BYTYPE,Type 3,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 3 SEO Title,Type 3 SEO Desc,Type 3 keywords,type-auto16,type-3.png,"[type-3-g1.png,type-3-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 3 (copy auto17),Type 3 description,Short for Type 3,type-3-auto17,100,Cakes,Cakes BYTYPE,Type 3,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 3 SEO Title,Type 3 SEO Desc,Type 3 keywords,type-auto17,type-3.png,"[type-3-g1.png,type-3-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 3 (copy auto18),Type 3 description,Short for Type 3,type-3-auto18,100,Cakes,Cakes BYTYPE,Type 3,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 3 SEO Title,Type 3 SEO Desc,Type 3 keywords,type-auto18,type-3.png,"[type-3-g1.png,type-3-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 3 (copy auto19),Type 3 description,Short for Type 3,type-3-auto19,100,Cakes,Cakes BYTYPE,Type 3,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 3 SEO Title,Type 3 SEO Desc,Type 3 keywords,type-auto19,type-3.png,"[type-3-g1.png,type-3-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 3 (copy auto20),Type 3 description,Short for Type 3,type-3-auto20,100,Cakes,Cakes BYTYPE,Type 3,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 3 SEO Title,Type 3 SEO Desc,Type 3 keywords,type-auto20,type-3.png,"[type-3-g1.png,type-3-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 3 (copy auto21),Type 3 description,Short for Type 3,type-3-auto21,100,Cakes,Cakes BYTYPE,Type 3,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 3 SEO Title,Type 3 SEO Desc,Type 3 keywords,type-auto21,type-3.png,"[type-3-g1.png,type-3-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 4,Type 4 description,Short for Type 4,type-4-004,100,Cakes,Cakes BYTYPE,Type 4,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 4 SEO Title,Type 4 SEO Desc,Type 4 keywords,type-4,type-4.png,"[type-4-g1.png,type-4-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 4 (copy auto22),Type 4 description,Short for Type 4,type-4-auto22,100,Cakes,Cakes BYTYPE,Type 4,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 4 SEO Title,Type 4 SEO Desc,Type 4 keywords,type-auto22,type-4.png,"[type-4-g1.png,type-4-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 4 (copy auto23),Type 4 description,Short for Type 4,type-4-auto23,100,Cakes,Cakes BYTYPE,Type 4,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 4 SEO Title,Type 4 SEO Desc,Type 4 keywords,type-auto23,type-4.png,"[type-4-g1.png,type-4-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 4 (copy auto24),Type 4 description,Short for Type 4,type-4-auto24,100,Cakes,Cakes BYTYPE,Type 4,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 4 SEO Title,Type 4 SEO Desc,Type 4 keywords,type-auto24,type-4.png,"[type-4-g1.png,type-4-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 4 (copy auto25),Type 4 description,Short for Type 4,type-4-auto25,100,Cakes,Cakes BYTYPE,Type 4,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 4 SEO Title,Type 4 SEO Desc,Type 4 keywords,type-auto25,type-4.png,"[type-4-g1.png,type-4-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 4 (copy auto26),Type 4 description,Short for Type 4,type-4-auto26,100,Cakes,Cakes BYTYPE,Type 4,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 4 SEO Title,Type 4 SEO Desc,Type 4 keywords,type-auto26,type-4.png,"[type-4-g1.png,type-4-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 4 (copy auto27),Type 4 description,Short for Type 4,type-4-auto27,100,Cakes,Cakes BYTYPE,Type 4,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 4 SEO Title,Type 4 SEO Desc,Type 4 keywords,type-auto27,type-4.png,"[type-4-g1.png,type-4-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 4 (copy auto28),Type 4 description,Short for Type 4,type-4-auto28,100,Cakes,Cakes BYTYPE,Type 4,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 4 SEO Title,Type 4 SEO Desc,Type 4 keywords,type-auto28,type-4.png,"[type-4-g1.png,type-4-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 5,Type 5 description,Short for Type 5,type-5-005,100,Cakes,Cakes BYTYPE,Type 5,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 5 SEO Title,Type 5 SEO Desc,Type 5 keywords,type-5,type-5.png,"[type-5-g1.png,type-5-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 5 (copy auto29),Type 5 description,Short for Type 5,type-5-auto29,100,Cakes,Cakes BYTYPE,Type 5,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 5 SEO Title,Type 5 SEO Desc,Type 5 keywords,type-auto29,type-5.png,"[type-5-g1.png,type-5-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 5 (copy auto30),Type 5 description,Short for Type 5,type-5-auto30,100,Cakes,Cakes BYTYPE,Type 5,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 5 SEO Title,Type 5 SEO Desc,Type 5 keywords,type-auto30,type-5.png,"[type-5-g1.png,type-5-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 5 (copy auto31),Type 5 description,Short for Type 5,type-5-auto31,100,Cakes,Cakes BYTYPE,Type 5,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 5 SEO Title,Type 5 SEO Desc,Type 5 keywords,type-auto31,type-5.png,"[type-5-g1.png,type-5-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 5 (copy auto32),Type 5 description,Short for Type 5,type-5-auto32,100,Cakes,Cakes BYTYPE,Type 5,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 5 SEO Title,Type 5 SEO Desc,Type 5 keywords,type-auto32,type-5.png,"[type-5-g1.png,type-5-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 5 (copy auto33),Type 5 description,Short for Type 5,type-5-auto33,100,Cakes,Cakes BYTYPE,Type 5,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 5 SEO Title,Type 5 SEO Desc,Type 5 keywords,type-auto33,type-5.png,"[type-5-g1.png,type-5-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 5 (copy auto34),Type 5 description,Short for Type 5,type-5-auto34,100,Cakes,Cakes BYTYPE,Type 5,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 5 SEO Title,Type 5 SEO Desc,Type 5 keywords,type-auto34,type-5.png,"[type-5-g1.png,type-5-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 5 (copy auto35),Type 5 description,Short for Type 5,type-5-auto35,100,Cakes,Cakes BYTYPE,Type 5,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 5 SEO Title,Type 5 SEO Desc,Type 5 keywords,type-auto35,type-5.png,"[type-5-g1.png,type-5-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Flavor 1,Flavor 1 description,Short for Flavor 1,flavor-1-006,100,Cakes,Cakes BYFLAVOR,Flavor 1,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Flavor 1 SEO Title,Flavor 1 SEO Desc,Flavor 1 keywords,flavor-1,flavor-1.png,"[flavor-1-g1.png,flavor-1-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Flavor 1 (copy auto111),Flavor 1 description,Short for Flavor 1,flavor-1-auto111,100,Cakes,Cakes BYFLAVOR,Flavor 1,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Flavor 1 SEO Title,Flavor 1 SEO Desc,Flavor 1 keywords,flavor-auto111,flavor-1.png,"[flavor-1-g1.png,flavor-1-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Flavor 1 (copy auto112),Flavor 1 description,Short for Flavor 1,flavor-1-auto112,100,Cakes,Cakes BYFLAVOR,Flavor 1,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Flavor 1 SEO Title,Flavor 1 SEO Desc,Flavor 1 keywords,flavor-auto112,flavor-1.png,"[flavor-1-g1.png,flavor-1-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Flavor 1 (copy auto113),Flavor 1 description,Short for Flavor 1,flavor-1-auto113,100,Cakes,Cakes BYFLAVOR,Flavor 1,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Flavor 1 SEO Title,Flavor 1 SEO Desc,Flavor 1 keywords,flavor-auto113,flavor-1.png,"[flavor-1-g1.png,flavor-1-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Flavor 1 (copy auto114),Flavor 1 description,Short for Flavor 1,flavor-1-auto114,100,Cakes,Cakes BYFLAVOR,Flavor 1,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Flavor 1 SEO Title,Flavor 1 SEO Desc,Flavor 1 keywords,flavor-auto114,flavor-1.png,"[flavor-1-g1.png,flavor-1-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Flavor 1 (copy auto115),Flavor 1 description,Short for Flavor 1,flavor-1-auto115,100,Cakes,Cakes BYFLAVOR,Flavor 1,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Flavor 1 SEO Title,Flavor 1 SEO Desc,Flavor 1 keywords,flavor-auto115,flavor-1.png,"[flavor-1-g1.png,flavor-1-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Flavor 1 (copy auto116),Flavor 1 description,Short for Flavor 1,flavor-1-auto116,100,Cakes,Cakes BYFLAVOR,Flavor 1,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Flavor 1 SEO Title,Flavor 1 SEO Desc,Flavor 1 keywords,flavor-auto116,flavor-1.png,"[flavor-1-g1.png,flavor-1-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Flavor 1 (copy auto117),Flavor 1 description,Short for Flavor 1,flavor-1-auto117,100,Cakes,Cakes BYFLAVOR,Flavor 1,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Flavor 1 SEO Title,Flavor 1 SEO Desc,Flavor 1 keywords,flavor-auto117,flavor-1.png,"[flavor-1-g1.png,flavor-1-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Flavor 2,Flavor 2 description,Short for Flavor 2,flavor-2-007,100,Cakes,Cakes BYFLAVOR,Flavor 2,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Flavor 2 SEO Title,Flavor 2 SEO Desc,Flavor 2 keywords,flavor-2,flavor-2.png,"[flavor-2-g1.png,flavor-2-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Flavor 2 (copy auto118),Flavor 2 description,Short for Flavor 2,flavor-2-auto118,100,Cakes,Cakes BYFLAVOR,Flavor 2,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Flavor 2 SEO Title,Flavor 2 SEO Desc,Flavor 2 keywords,flavor-auto118,flavor-2.png,"[flavor-2-g1.png,flavor-2-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Flavor 2 (copy auto119),Flavor 2 description,Short for Flavor 2,flavor-2-auto119,100,Cakes,Cakes BYFLAVOR,Flavor 2,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Flavor 2 SEO Title,Flavor 2 SEO Desc,Flavor 2 keywords,flavor-auto119,flavor-2.png,"[flavor-2-g1.png,flavor-2-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Flavor 2 (copy auto120),Flavor 2 description,Short for Flavor 2,flavor-2-auto120,100,Cakes,Cakes BYFLAVOR,Flavor 2,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Flavor 2 SEO Title,Flavor 2 SEO Desc,Flavor 2 keywords,flavor-auto120,flavor-2.png,"[flavor-2-g1.png,flavor-2-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Flavor 2 (copy auto121),Flavor 2 description,Short for Flavor 2,flavor-2-auto121,100,Cakes,Cakes BYFLAVOR,Flavor 2,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Flavor 2 SEO Title,Flavor 2 SEO Desc,Flavor 2 keywords,flavor-auto121,flavor-2.png,"[flavor-2-g1.png,flavor-2-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Flavor 2 (copy auto122),Flavor 2 description,Short for Flavor 2,flavor-2-auto122,100,Cakes,Cakes BYFLAVOR,Flavor 2,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Flavor 2 SEO Title,Flavor 2 SEO Desc,Flavor 2 keywords,flavor-auto122,flavor-2.png,"[flavor-2-g1.png,flavor-2-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
